enrollment_no,student_name,gender,age,section,course,year_enrollment,year_completion,hometown,category,father_occupation,mother_occupation,marks_10th,marks_12th,attendance,sgpa,cgpa,backlogs,suspension,family_income,fees_status,year_level,department,fees_flag,suspension_flag,age_at_enrollment,sgpa1,sgpa2,sgpa3,sgpa4,sgpa5,year,specialization,sgpa6,sgpa7,enrollment_no.,model_phase,final_phase,red_reason,ml_probability,rule_override,predicted_phase
BBA2025A011,Ramesh Lodha,M,19,A,B.B.A.,2025,2028,Churu,General,Laborer,Homemaker,42.25,95.7,85.75,8.97,8.97,3,Yes,200000,Partial,1,BBA,1,1,19,,,,,,,,,,,Yellow,Yellow,,0.12091347276969067,False,Yellow
BBA2025A012,Rohit Singh,M,19,A,B.B.A.,2025,2028,Alwar,EWS,Farmer,Homemaker,22.46,42.29,80.39,7.44,7.44,2,Yes,54557,Partial,1,BBA,1,1,19,,,,,,,,,,,Yellow,Yellow,,0.4073920163549567,False,Yellow
BBA2025A013,Pooja Sharma,F,18,A,B.B.A.,2025,2028,Hanumangarh,General,Laborer,Homemaker,65.17,38.9,55.7,5.86,5.86,0,No,300000,Partial,1,BBA,1,0,18,,,,,,,,,,,Yellow,Yellow,,0.39118519707112925,False,Yellow
BBA2025A014,Kavita Singh,F,18,A,B.B.A.,2025,2028,Kishangarh,General,Teacher,Homemaker,24.41,16.11,55.05,6.01,6.01,0,No,800000,Paid,1,BBA,0,0,18,,,,,,,,,,,Yellow,Yellow,,0.4255220465762576,False,Yellow
BBA2025A015,Karan Yadav,M,19,A,B.B.A.,2025,2028,Hanumangarh,General,Laborer,Homemaker,27.89,18.67,92.73,7.99,7.99,0,No,200000,Partial,1,BBA,1,0,19,,,,,,,,,,,Green,Green,,0.09975771085612826,False,Green
BBA2025A016,Rajat Dugar,M,18,A,B.B.A.,2025,2028,Beawar,General,Teacher,Homemaker,61.06,95.35,60.46,6.7,6.7,0,No,900000,Paid,1,BBA,0,0,18,,,,,,,,,,,Yellow,Yellow,,0.1953390301746183,False,Yellow
BBA2025A017,Vinod Nagar,M,19,A,B.B.A.,2025,2028,Nathdwara,General,Laborer,Farmer,34.48,63.85,41.76,6.48,6.48,0,No,200000,Partial,1,BBA,1,0,19,,,,,,,,,,,Orange,Orange,,0.589021102717639,False,Orange
BBA2025A018,Suresh Meghwal,M,18,A,B.B.A.,2025,2028,Udaipur,OBC,Engineer,Homemaker,50.73,73.49,93.41,8.8,8.8,2,Yes,1300000,Paid,1,BBA,0,1,18,,,,,,,,,,,Yellow,Yellow,,0.06461647285084203,False,Yellow
BBA2025A019,Pooja Sharma,F,21,A,B.B.A.,2025,2028,Ganganagar,General,Businessman,Homemaker,68.75,44.02,64.0,6.69,6.69,1,No,2700000,Paid,1,BBA,0,0,21,,,,,,,,,,,Yellow,Yellow,,0.20708767945094783,False,Yellow
BBA2025A020,Yashoda Khichar,F,22,A,B.B.A.,2025,2028,Karauli,General,Farmer,Homemaker,74.81,98.42,58.06,6.31,6.31,3,Yes,300000,Partial,1,BBA,1,1,22,,,,,,,,,,,Orange,Orange,,0.5571609965757622,False,Orange
BBA2025A021,Karan Yadav,M,19,A,B.B.A.,2025,2028,Bikaner,OBC,Doctor,Homemaker,31.85,19.64,79.16,6.81,6.81,2,Yes,1600000,Paid,1,BBA,0,1,19,,,,,,,,,,,Yellow,Yellow,,0.12465694891869154,False,Yellow
BBA2025A022,Yashoda Khichar,F,19,A,B.B.A.,2025,2028,Ajmer,General,Farmer,Homemaker,42.2,95.22,87.0,8.75,8.75,0,No,500000,Partial,1,BBA,1,0,19,,,,,,,,,,,Green,Green,,0.0041384644766997705,False,Green
BBA2025A023,Bhavya Soni,F,18,A,B.B.A.,2025,2028,Jaipur,General,Businessman,Homemaker,88.11,75.88,67.63,7.01,7.01,2,Yes,3000000,Paid,1,BBA,0,1,18,,,,,,,,,,,Yellow,Yellow,,0.2573216026010861,False,Yellow
BBA2025A024,Rajat Dugar,M,20,A,B.B.A.,2025,2028,Bikaner,General,Businessman,Homemaker,97.97,73.11,68.18,6.98,6.98,3,Yes,83467,Partial,1,BBA,1,1,20,,,,,,,,,,,Yellow,Yellow,,0.44192756781346026,False,Yellow
BBA2025A025,Rahul Bhati,M,19,A,B.B.A.,2025,2028,Karauli,General,Doctor,Homemaker,67.7,66.84,13.71,5.74,5.74,0,No,800000,Paid,1,BBA,0,0,19,,,,,,,,,,,Orange,Red,Forced Red due to critical safety threshold: Attendance <30%,0.4615031355342487,True,Red
BBA2025A026,Kamal Bishnoi,M,18,A,B.B.A.,2025,2028,Phalodi,General,Laborer,Homemaker,44.33,48.22,52.47,6.33,6.33,1,No,100000,Partial,1,BBA,1,0,18,,,,,,,,,,,Orange,Orange,,0.550778873800808,False,Orange
BBA2025A027,Nikhil Beniwal,M,20,A,B.B.A.,2025,2028,Nathdwara,General,Businessman,Homemaker,21.49,32.46,84.64,7.63,7.63,0,No,700000,Paid,1,BBA,0,0,20,,,,,,,,,,,Green,Green,,0.2660729184186196,False,Green
BBA2025A028,Arjun Sharma,M,20,A,B.B.A.,2025,2028,Bhilwara,OBC,Laborer,Homemaker,34.21,47.55,88.93,8.08,8.08,3,Yes,100000,Partial,1,BBA,1,1,20,,,,,,,,,,,Yellow,Yellow,,0.2095978434714527,False,Yellow
BBA2025A029,Deepak Jat,M,20,A,B.B.A.,2025,2028,Nawalgarh,OBC,Laborer,Homemaker,93.34,45.3,44.14,6.34,6.34,2,Yes,100000,Partial,1,BBA,1,1,20,,,,,,,,,,,Orange,Orange,,0.5796885978543618,False,Orange
BBA2025A030,Ramesh Lodha,M,19,A,B.B.A.,2025,2028,Udaipur,General,Teacher,Homemaker,40.77,84.45,68.19,7.16,7.16,2,Yes,900000,Paid,1,BBA,0,1,19,,,,,,,,,,,Yellow,Yellow,,0.2151918976658463,False,Yellow
BBA2025A031,Praveen Soni,M,19,A,B.B.A.,2025,2028,Jodhpur,OBC,Farmer,Homemaker,71.05,56.11,50.17,5.15,5.15,2,Yes,300000,Partial,1,BBA,1,1,19,,,,,,,,,,,Orange,Orange,,0.9284517700344767,False,Orange
BBA2025A032,Sakshi Bhati,F,19,A,B.B.A.,2025,2028,Nawalgarh,General,Businessman,Farmer,51.09,36.82,60.54,7.18,7.18,1,No,1600000,Paid,1,BBA,0,0,19,,,,,,,,,,,Yellow,Yellow,,0.31938890928897523,False,Yellow
BBA2025A033,Sandeep Meena,M,20,A,B.B.A.,2025,2028,Phalodi,General,Businessman,Homemaker,69.58,96.96,84.08,7.64,7.64,2,Yes,1500000,Paid,1,BBA,0,1,20,,,,,,,,,,,Yellow,Yellow,,0.3588125697389738,False,Yellow
BBA2025A034,Karan Yadav,M,20,A,B.B.A.,2025,2028,Phalodi,EWS,Laborer,Homemaker,75.99,91.33,73.43,8.53,8.53,1,No,300000,Partial,1,BBA,1,0,20,,,,,,,,,,,Yellow,Yellow,,0.031319274562972045,False,Yellow
BBA2025A035,Praveen Soni,M,18,A,B.B.A.,2025,2028,Barmer,EWS,Doctor,Homemaker,87.76,94.23,74.4,8.11,8.11,1,No,2300000,Paid,1,BBA,0,0,18,,,,,,,,,,,Yellow,Yellow,,0.04683378386319564,False,Yellow
BBA2025A036,Meera Rathore,F,18,A,B.B.A.,2025,2028,Udaipur,General,Doctor,Homemaker,17.25,37.27,85.62,7.87,7.87,0,No,1100000,Paid,1,BBA,0,0,18,,,,,,,,,,,Green,Green,,0.2279967942322469,False,Green
BBA2025A037,Aman Verma,M,18,A,B.B.A.,2025,2028,Bikaner,General,Laborer,Homemaker,33.73,44.48,88.37,9.07,9.07,2,Yes,200000,Partial,1,BBA,1,1,18,,,,,,,,,,,Yellow,Yellow,,0.058910344245553754,False,Yellow
BBA2025A038,Ajay Sharma,M,20,A,B.B.A.,2025,2028,Jodhpur,General,Businessman,Homemaker,42.03,59.15,61.13,6.71,6.71,3,Yes,2000000,Paid,1,BBA,0,1,20,,,,,,,,,,,Orange,Orange,,0.5815983684102343,False,Orange
BBA2025A039,Meera Rathore,F,22,A,B.B.A.,2025,2028,Beawar,OBC,Businessman,Teacher,92.4,83.04,84.62,8.59,8.59,3,Yes,1300000,Paid,1,BBA,0,1,22,,,,,,,,,,,Yellow,Yellow,,0.18064164423062276,False,Yellow
BBA2025A040,Sapna Jat,F,18,A,B.B.A.,2025,2028,Dausa,General,Businessman,Homemaker,90.68,78.94,58.25,6.79,6.79,0,No,1000000,Paid,1,BBA,0,0,18,,,,,,,,,,,Yellow,Yellow,,0.31812675878550795,False,Yellow
BBA2025B001,Sapna Jat,F,19,B,B.B.A.,2025,2028,Sumerpur,General,Laborer,Homemaker,72.43,43.16,69.57,6.67,6.67,1,No,200000,Partial,1,BBA,1,0,19,,,,,,,,,,,Yellow,Yellow,,0.02238989694084327,False,Yellow
BBA2025B002,Suresh Meghwal,M,18,B,B.B.A.,2025,2028,Khichan,General,Farmer,Homemaker,17.53,45.48,97.19,8.45,8.45,0,No,500000,Partial,1,BBA,1,0,18,,,,,,,,,,,Green,Green,,0.04756796753789234,False,Green
BBA2025B003,Nikhil Beniwal,M,21,B,B.B.A.,2025,2028,Phalodi,General,Teacher,Homemaker,76.89,47.81,71.37,7.9,7.9,1,No,500000,Partial,1,BBA,1,0,21,,,,,,,,,,,Yellow,Yellow,,0.4879148223082419,False,Yellow
BBA2025B004,Anjali Verma,F,20,B,B.B.A.,2025,2028,Banswara,EWS,Businessman,Homemaker,42.91,47.76,65.04,6.7,6.7,0,No,1200000,Paid,1,BBA,0,0,20,,,,,,,,,,,Yellow,Yellow,,0.1290153499331365,False,Yellow
BBA2025B005,Sunita Kothari,F,20,B,B.B.A.,2025,2028,Sumerpur,General,Laborer,Teacher,93.35,68.44,63.19,6.55,6.55,1,No,300000,Partial,1,BBA,1,0,20,,,,,,,,,,,Yellow,Yellow,,0.21198854084664415,False,Yellow
BBA2025B006,Yashoda Khichar,F,19,B,B.B.A.,2025,2028,Sawai Madhopur,OBC,Farmer,Homemaker,60.64,72.13,81.4,7.31,7.31,0,No,400000,Partial,1,BBA,1,0,19,,,,,,,,,,,Yellow,Yellow,,0.2650973905287098,False,Yellow
BBA2025B007,Meera Rathore,F,19,B,B.B.A.,2025,2028,Ajmer,General,Farmer,Businesswoman,58.29,71.29,42.27,5.79,5.79,2,Yes,500000,Partial,1,BBA,1,1,19,,,,,,,,,,,Orange,Orange,,0.514641795033123,False,Orange
BBA2025B008,Ajay Sharma,M,18,B,B.B.A.,2025,2028,Pushkar,OBC,Laborer,Teacher,16.09,16.39,91.03,9.5,9.5,3,Yes,100000,Partial,1,BBA,1,1,18,,,,,,,,,,,Yellow,Yellow,,0.07309641771800496,False,Yellow
BBA2025B009,Kavita Singh,F,18,B,B.B.A.,2025,2028,Khichan,OBC,Farmer,Homemaker,36.1,90.91,53.61,5.58,5.58,1,Yes,500000,Partial,1,BBA,1,1,18,,,,,,,,,,,Orange,Orange,,0.7602636589502405,False,Orange
BBA2025B010,Ashok Kumawat,M,20,B,B.B.A.,2025,2028,Pushkar,General,Teacher,Homemaker,43.97,50.53,87.37,8.26,8.26,1,No,900000,Paid,1,BBA,0,0,20,,,,,,,,,,,Green,Green,,0.04052527289259785,False,Green
BBA2025B011,Vikram Solanki,M,20,B,B.B.A.,2025,2028,Sikar,EWS,Laborer,Homemaker,81.71,41.55,84.21,8.9,8.9,0,No,200000,Partial,1,BBA,1,0,20,,,,,,,,,,,Green,Green,,0.025719101675758017,False,Green
BBA2025B012,Suresh Meghwal,M,24,B,B.B.A.,2025,2028,Beawar,General,Laborer,Homemaker,38.46,91.66,75.67,7.49,7.49,0,No,200000,Partial,1,BBA,1,0,24,,,,,,,,,,,Orange,Orange,,0.5066692528753349,False,Orange
BBA2025B013,Suraj Kothari,M,24,B,B.B.A.,2025,2028,Nawalgarh,EWS,Laborer,Homemaker,72.81,96.07,64.55,7.14,7.14,0,No,200000,Partial,1,BBA,1,0,24,,,,,,,,,,,Yellow,Yellow,,0.20180254897798866,False,Yellow
BBA2025B014,Kamal Bishnoi,M,19,B,B.B.A.,2025,2028,Beawar,General,Teacher,Homemaker,49.19,89.9,85.35,7.48,7.48,0,Yes,500000,Partial,1,BBA,1,1,19,,,,,,,,,,,Yellow,Yellow,,0.2993829207094229,False,Yellow
BBA2025B015,Karan Yadav,M,19,B,B.B.A.,2025,2028,Kishangarh,OBC,Laborer,Homemaker,58.69,86.43,87.61,8.51,8.51,2,Yes,300000,Partial,1,BBA,1,1,19,,,,,,,,,,,Yellow,Yellow,,0.08623911816314757,False,Yellow
BBA2025B016,Kavita Singh,F,20,B,B.B.A.,2025,2028,Devgarh,EWS,Teacher,Homemaker,52.05,76.25,92.37,8.43,8.43,1,No,800000,Paid,1,BBA,0,0,20,,,,,,,,,,,Green,Green,,0.010683356117566642,False,Green
BBA2025B017,Rohit Singh,M,20,B,B.B.A.,2025,2028,Kota,General,Doctor,Farmer,56.47,69.36,95.56,9.33,9.33,2,Yes,2400000,Paid,1,BBA,0,1,20,,,,,,,,,,,Yellow,Yellow,,0.05682877691122217,False,Yellow
BBA2025B018,Priya Dugar,F,18,B,B.B.A.,2025,2028,Ajmer,General,Laborer,Homemaker,19.59,18.07,62.92,7.49,7.49,0,No,100000,Partial,1,BBA,1,0,18,,,,,,,,,,,Orange,Orange,,0.6436268546583737,False,Orange
BBA2025B019,Vikram Solanki,M,19,B,B.B.A.,2025,2028,Beawar,General,Laborer,Farmer,52.61,59.96,62.21,8.29,8.29,1,No,100000,Partial,1,BBA,1,0,19,,,,,,,,,,,Orange,Orange,,0.7005024407725461,False,Orange
BBA2025B020,Aman Verma,M,18,B,B.B.A.,2025,2028,Barmer,General,Businessman,Homemaker,70.38,57.6,79.15,8.1,8.1,2,Yes,57812,Partial,1,BBA,1,1,18,,,,,,,,,,,Yellow,Yellow,,0.2662633960812566,False,Yellow
BBA2025B021,Rajat Dugar,M,21,B,B.B.A.,2025,2028,Bhilwara,General,Laborer,Homemaker,64.42,50.14,49.36,6.16,6.16,0,No,300000,Partial,1,BBA,1,0,21,,,,,,,,,,,Orange,Orange,,0.6154128964612685,False,Orange
BBA2025B022,Vikas Rathore,M,19,B,B.B.A.,2025,2028,Alwar,General,Laborer,Homemaker,76.8,80.75,78.17,7.81,7.81,1,No,200000,Partial,1,BBA,1,0,19,,,,,,,,,,,Green,Green,,0.2661289337229186,False,Green
BBA2025B023,Ajay Sharma,M,18,B,B.B.A.,2025,2028,Alwar,General,Farmer,Homemaker,94.83,65.73,85.5,7.92,7.92,1,No,300000,Partial,1,BBA,1,0,18,,,,,,,,,,,Green,Green,,0.26777954456173986,False,Green
BBA2025B024,Nikhil Beniwal,M,19,B,B.B.A.,2025,2028,Kota,General,Engineer,Farmer,81.35,38.35,79.17,7.95,7.95,1,No,800000,Paid,1,BBA,0,0,19,,,,,,,,,,,Green,Green,,0.2651296101740691,False,Green
BBA2025B025,Rahul Bhati,M,19,B,B.B.A.,2025,2028,Khichan,General,Doctor,Homemaker,47.19,47.53,58.35,6.32,6.32,2,Yes,1000000,Paid,1,BBA,0,1,19,,,,,,,,,,,Yellow,Yellow,,0.4320543077456012,False,Yellow
BBA2025B026,Sapna Jat,F,18,B,B.B.A.,2025,2028,Nawalgarh,OBC,Teacher,Farmer,35.06,78.1,89.67,8.48,8.48,0,No,500000,Partial,1,BBA,1,0,18,,,,,,,,,,,Green,Green,,0.006179280803230383,False,Green
BBA2025B027,Deepak Jat,M,18,B,B.B.A.,2025,2028,Banswara,General,Businessman,Homemaker,30.06,22.0,47.53,6.64,6.64,3,Yes,1200000,Paid,1,BBA,0,1,18,,,,,,,,,,,Orange,Orange,,0.6530016149140448,False,Orange
BBA2025B028,Sapna Jat,F,19,B,B.B.A.,2025,2028,Bikaner,General,Engineer,Homemaker,15.41,39.81,85.12,7.5,7.5,2,Yes,1900000,Paid,1,BBA,0,1,19,,,,,,,,,,,Yellow,Yellow,,0.3572345763038375,False,Yellow
BBA2025B029,Suraj Kothari,M,19,B,B.B.A.,2025,2028,Pratapgarh,General,Businessman,Homemaker,25.86,16.82,82.96,8.66,8.66,2,Yes,2100000,Paid,1,BBA,0,1,19,,,,,,,,,,,Yellow,Yellow,,0.07408393257032377,False,Yellow
BBA2025B030,Neha Yadav,F,19,B,B.B.A.,2025,2028,Devgarh,EWS,Laborer,Farmer,65.76,64.72,56.94,7.21,7.21,0,No,300000,Partial,1,BBA,1,0,19,,,,,,,,,,,Yellow,Yellow,,0.3749350014559257,False,Yellow
BBA2025B031,Sakshi Bhati,F,19,B,B.B.A.,2025,2028,Karauli,General,Businessman,Businesswoman,72.39,72.1,79.07,7.67,7.67,0,No,3000000,Paid,1,BBA,0,0,19,,,,,,,,,,,Green,Green,,0.247540791841212,False,Green
BBA2025B032,Kavita Singh,F,20,B,B.B.A.,2025,2028,Udaipur,General,Laborer,Homemaker,55.06,87.43,62.54,5.48,5.48,0,No,100000,Partial,1,BBA,1,0,20,,,,,,,,,,,Orange,Orange,,0.7582271012347372,False,Orange
BBA2025B033,Suresh Meghwal,M,19,B,B.B.A.,2025,2028,Kishangarh,General,Laborer,Homemaker,83.88,55.96,62.04,6.36,6.36,1,No,100000,Partial,1,BBA,1,0,19,,,,,,,,,,,Yellow,Yellow,,0.22387260355468303,False,Yellow
BBA2025B034,Deepak Jat,M,19,B,B.B.A.,2025,2028,Nagaur,General,Laborer,Homemaker,47.22,16.16,69.72,7.96,7.96,1,No,300000,Partial,1,BBA,1,0,19,,,,,,,,,,,Yellow,Yellow,,0.4416856942933996,False,Yellow
BBA2025B035,Ashok Kumawat,M,20,B,B.B.A.,2025,2028,Kota,General,Teacher,Homemaker,37.96,70.34,78.09,7.67,7.67,1,No,600000,Paid,1,BBA,0,0,20,,,,,,,,,,,Green,Green,,0.29621672688214035,False,Green
BBA2025B036,Priya Dugar,F,19,B,B.B.A.,2025,2028,Pratapgarh,General,Laborer,Teacher,42.17,39.58,63.78,6.23,6.23,1,No,300000,Partial,1,BBA,1,0,19,,,,,,,,,,,Yellow,Yellow,,0.2087606062916419,False,Yellow
BBA2025B037,Pallavi Chouhan,F,18,B,B.B.A.,2025,2028,Udaipur,General,Doctor,Farmer,22.02,20.86,94.92,8.39,8.39,0,No,1100000,Paid,1,BBA,0,0,18,,,,,,,,,,,Green,Green,,0.004068181818181818,False,Green
BBA2025B038,Sunita Kothari,F,18,B,B.B.A.,2025,2028,Karauli,General,Farmer,Homemaker,42.87,28.89,75.86,8.06,8.06,0,No,400000,Partial,1,BBA,1,0,18,,,,,,,,,,,Green,Green,,0.02084180481172962,False,Green
BBA2025B039,Ajay Sharma,M,19,B,B.B.A.,2025,2028,Sikar,General,Laborer,Homemaker,35.99,26.88,50.74,6.37,6.37,3,Yes,100000,Partial,1,BBA,1,1,19,,,,,,,,,,,Orange,Orange,,0.6857721300281199,False,Orange
BBA2025B040,Sakshi Bhati,F,19,B,B.B.A.,2025,2028,Ajmer,General,Teacher,Homemaker,16.14,27.27,70.06,7.06,7.06,0,No,800000,Paid,1,BBA,0,0,19,,,,,,,,,,,Yellow,Yellow,,0.1946677988471738,False,Yellow
BBA2025C001,Yashoda Khichar,F,19,C,B.B.A.,2025,2028,Sawai Madhopur,General,Businessman,Homemaker,87.06,90.24,67.02,6.8,6.8,0,No,2500000,Paid,1,BBA,0,0,19,,,,,,,,,,,Yellow,Yellow,,0.1374552174004776,False,Yellow
BBA2025C002,Rajat Dugar,M,18,C,B.B.A.,2025,2028,Sumerpur,OBC,Businessman,Teacher,85.76,79.75,71.58,7.06,7.06,0,No,1200000,Paid,1,BBA,0,0,18,,,,,,,,,,,Yellow,Yellow,,0.1732153722682092,False,Yellow
BBA2025C003,Praveen Soni,M,18,C,B.B.A.,2025,2028,Ganganagar,General,Businessman,Homemaker,78.85,88.24,90.37,7.87,7.87,0,No,2900000,Paid,1,BBA,0,0,18,,,,,,,,,,,Green,Green,,0.24477941360410638,False,Green
BBA2025C004,Anjali Verma,F,18,C,B.B.A.,2025,2028,Pali,General,Engineer,Farmer,50.96,79.03,37.73,6.23,6.23,0,No,1000000,Paid,1,BBA,0,0,18,,,,,,,,,,,Orange,Orange,,0.5595610139523852,False,Orange
BBA2025C005,Priya Dugar,F,18,C,B.B.A.,2025,2028,Pushkar,General,Farmer,Homemaker,71.96,77.89,77.11,7.43,7.43,0,No,400000,Partial,1,BBA,1,0,18,,,,,,,,,,,Orange,Orange,,0.541163426219415,False,Orange
BBA2025C006,Anjali Verma,F,19,C,B.B.A.,2025,2028,Pushkar,General,Businessman,Farmer,56.82,73.83,27.7,5.39,5.39,0,No,2400000,Paid,1,BBA,0,0,19,,,,,,,,,,,Orange,Red,Forced Red due to critical safety threshold: Attendance <30%,0.7055523748697123,True,Red
BBA2025C007,Praveen Soni,M,18,C,B.B.A.,2025,2028,Ajmer,General,Engineer,Homemaker,39.04,82.68,92.25,9.45,9.45,0,No,1000000,Paid,1,BBA,0,0,18,,,,,,,,,,,Green,Green,,0.024302661415443367,False,Green
BBA2025C008,Seema Rathore,F,19,C,B.B.A.,2025,2028,Beawar,OBC,Businessman,Homemaker,93.54,43.47,67.73,7.66,7.66,0,No,2200000,Paid,1,BBA,0,0,19,,,,,,,,,,,Orange,Orange,,0.6499797005294573,False,Orange
BBA2025C009,Nikhil Beniwal,M,20,C,B.B.A.,2025,2028,Churu,General,Businessman,Teacher,45.39,36.63,74.9,7.24,7.24,0,No,2800000,Paid,1,BBA,0,0,20,,,,,,,,,,,Yellow,Yellow,,0.2903716572178186,False,Yellow
BBA2025C010,Aman Verma,M,18,C,B.B.A.,2025,2028,Nathdwara,General,Businessman,Homemaker,95.72,90.54,84.52,8.31,8.31,2,Yes,1100000,Paid,1,BBA,0,1,18,,,,,,,,,,,Yellow,Yellow,,0.1035004408740501,False,Yellow
BBA2025C011,Karan Yadav,M,19,C,B.B.A.,2025,2028,Pratapgarh,General,Doctor,Homemaker,62.44,34.93,39.76,5.37,5.37,1,No,2300000,Paid,1,BBA,0,0,19,,,,,,,,,,,Orange,Orange,,0.7044265771822162,False,Orange
BBA2025C012,Nisha Malik,F,19,C,B.B.A.,2025,2028,Hanumangarh,General,Engineer,Teacher,45.22,87.5,66.13,6.43,6.43,1,No,1600000,Paid,1,BBA,0,0,19,,,,,,,,,,,Yellow,Yellow,,0.02801236763784813,False,Yellow
BBA2025C013,Nidhi Beniwal,F,18,C,B.B.A.,2025,2028,Beawar,General,Businessman,Teacher,68.77,41.51,86.59,8.39,8.39,0,No,2600000,Paid,1,BBA,0,0,18,,,,,,,,,,,Green,Green,,0.0055670359052712,False,Green
BBA2025C014,Karan Yadav,M,19,C,B.B.A.,2025,2028,Pushkar,OBC,Doctor,Homemaker,90.61,55.12,70.52,6.52,6.52,0,No,1000000,Paid,1,BBA,0,0,19,,,,,,,,,,,Yellow,Yellow,,0.06265985156615123,False,Yellow
BBA2025C015,Tarun Purohit,M,20,C,B.B.A.,2025,2028,Churu,General,Teacher,Homemaker,81.33,82.07,70.15,7.92,7.92,1,No,700000,Paid,1,BBA,0,0,20,,,,,,,,,,,Yellow,Yellow,,0.48140527303398684,False,Yellow
BBA2025C016,Seema Rathore,F,20,C,B.B.A.,2025,2028,Nathdwara,General,Laborer,Homemaker,41.63,26.42,89.11,8.07,8.07,0,No,300000,Partial,1,BBA,1,0,20,,,,,,,,,,,Green,Green,,0.014583723419437705,False,Green
BBA2025C017,Rahul Bhati,M,18,C,B.B.A.,2025,2028,Karauli,OBC,Businessman,Homemaker,38.99,43.01,63.51,6.93,6.93,0,No,700000,Paid,1,BBA,0,0,18,,,,,,,,,,,Yellow,Yellow,,0.17354041193080083,False,Yellow
BBA2025C018,Sneha Meena,F,20,C,B.B.A.,2025,2028,Devgarh,General,Laborer,Homemaker,78.69,87.92,61.08,6.83,6.83,1,No,200000,Partial,1,BBA,1,0,20,,,,,,,,,,,Yellow,Yellow,,0.27718500789622896,False,Yellow
BBA2025C019,Nikhil Beniwal,M,19,C,B.B.A.,2025,2028,Udaipur,General,Laborer,Homemaker,35.36,39.72,51.97,5.96,5.96,1,No,100000,Partial,1,BBA,1,0,19,,,,,,,,,,,Orange,Orange,,0.5691724500756318,False,Orange
BBA2025C020,Sandeep Meena,M,18,C,B.B.A.,2025,2028,Alwar,General,Farmer,Homemaker,49.48,33.42,73.15,7.74,7.74,2,Yes,500000,Partial,1,BBA,1,1,18,,,,,,,,,,,Orange,Orange,,0.6946027790341945,False,Orange
