enrollment_no,attendance,cgpa,backlogs,marks_10th,marks_12th,fees_pending,scholarship,remarks,father_occupation,mother_occupation,family_income,guardian_education,aadhaar_no,mobile_no,parents_mobile_no,phone,email,gender,age_at_enrollment,category,department,year_of_enrollment,suspension_flag,hostel_flag,fees_flag,scholarship_flag,bus_fees
2023ENG028,99.84,8.44,0,70,69,,,,Teacher,Homemaker,,,88584960495.0,7656273316.0,7770163944.0,,,F,21,General,CE,2023,0,0,0,1,1649
2023ENG029,61.73,6.86,0,93,84,,,,Driver,Tailor,,,669704177948.0,9653583138.0,8441009241.0,,,F,20,OBC,ME,2022,0,0,0,0,3817
2023ENG030,79.94,6.12,0,71,78,,,,Driver,Clerk,,,355969205407.0,7837452955.0,7764346842.0,,,F,18,General,ME,2023,0,1,0,0,743
2023ENG031,56.01,4.96,1,63,94,,,,Farmer,Tailor,,,252183137127.0,8359308930.0,9047161976.0,,,M,21,General,IT,2022,0,0,1,1,3907
2023ENG032,64.3,6.35,3,87,88,,,,Businessman,Clerk,,,480098419064.0,9155284161.0,9321768050.0,,,F,18,OBC,ME,2023,0,0,0,0,3610
2023ENG033,99.08,8.36,2,64,78,,,,Farmer,Nurse,,,334505052511.0,9487862559.0,7769239162.0,,,F,19,SC,EEE,2023,0,1,1,0,542
2023ENG034,63.13,5.12,3,74,94,,,,Farmer,Tailor,,,225723695978.0,9816094086.0,9353734741.0,,,M,18,OBC,EEE,2023,0,1,0,0,2708
2023ENG035,90.13,4.67,3,65,86,,,,Farmer,Nurse,,,491739457339.0,7541469688.0,7836035691.0,,,M,19,SC,ECE,2022,0,0,0,1,2393
2023ENG036,94.14,5.49,2,75,55,,,,Driver,Teacher,,,74724816343.0,7383459071.0,9026689434.0,,,M,20,OBC,CSE,2022,0,1,0,0,3308
2023ENG037,98.96,5.21,1,85,50,,,,Farmer,Nurse,,,175215749998.0,7092868038.0,8510396903.0,,,F,18,OBC,CSE,2023,0,1,0,1,4480
2023ENG038,57.5,4.74,0,66,54,,,,Teacher,Homemaker,,,237503404325.0,8886369100.0,9852542682.0,,,F,21,SC,CSE,2022,0,1,1,1,3514
2023ENG039,54.14,4.77,0,55,68,,,,Engineer,Nurse,,,411168308577.0,9052432792.0,8283529136.0,,,M,20,SC,IT,2022,0,0,0,1,4769
2023ENG040,57.18,7.72,3,78,86,,,,Teacher,Nurse,,,553061978649.0,9366629330.0,9176400775.0,,,F,20,ST,IT,2023,0,0,0,1,4020
2023ENG041,51.18,8.58,1,90,74,,,,Driver,Clerk,,,934172947414.0,8514455311.0,8776913752.0,,,F,20,OBC,ECE,2023,0,1,1,0,1268
2023ENG042,93.6,4.12,3,60,54,,,,Driver,Homemaker,,,720384968728.0,9612226082.0,7908122574.0,,,F,18,SC,CSE,2023,0,0,0,0,4789
2023ENG043,81.01,8.85,1,90,73,,,,Teacher,Homemaker,,,115538776771.0,8537320015.0,9332809746.0,,,F,20,OBC,ECE,2022,0,1,0,0,3738
2023ENG044,80.13,5.07,0,95,91,,,,Engineer,Nurse,,,120544806156.0,7356779940.0,8863842516.0,,,F,21,ST,EEE,2022,0,0,0,1,2120
2023ENG045,91.99,9.5,0,90,54,,,,Driver,Clerk,,,551345656252.0,8260977296.0,9450137394.0,,,F,21,General,IT,2022,0,0,0,1,839
2023ENG046,65.06,8.98,0,57,95,,,,Farmer,Clerk,,,888859415687.0,8854761403.0,7255119104.0,,,M,19,ST,IT,2023,1,1,1,0,3853
2023ENG047,56.7,8.05,0,93,62,,,,Businessman,Homemaker,,,613728519509.0,8031089855.0,7581634409.0,,,F,21,SC,ECE,2022,0,0,0,0,3244
2023ENG048,83.0,8.48,0,58,81,,,,Farmer,Nurse,,,258274879872.0,8968711036.0,7834872456.0,,,F,21,ST,CE,2023,1,0,1,1,1093
2023ENG049,91.12,6.01,2,62,86,,,,Teacher,Clerk,,,117858998427.0,9184638443.0,9786825986.0,,,M,19,ST,ECE,2022,0,0,0,0,2164
2023ENG050,79.48,6.55,2,86,50,,,,Businessman,Tailor,,,558855149326.0,7191456871.0,7903306849.0,,,M,21,General,CE,2022,1,0,0,0,4630
2023ENG901,28.5,2.3,10,45,40,1.0,0.0,Severe disciplinary case,,,Low,HighSchool,,,,9999999999.0,2023eng901@example.com,M,21,SC,CSE,2023,3,0,1,0,1500
2023ENG902,32.1,3.5,8,50,42,1.0,0.0,Severe disciplinary case,,,Low,HighSchool,,,,9999999999.0,2023eng902@example.com,F,20,OBC,ECE,2022,2,1,1,0,2000
2023ENG903,25.0,2.0,12,38,35,1.0,0.0,Severe disciplinary case,,,Low,HighSchool,,,,9999999999.0,2023eng903@example.com,M,22,GEN,ME,2023,4,0,1,0,1800
2023ENG904,30.4,3.1,9,47,39,1.0,0.0,Severe disciplinary case,,,Low,HighSchool,,,,9999999999.0,2023eng904@example.com,F,21,SC,CSE,2021,3,0,1,0,2200
2023ENG905,33.9,2.8,11,41,45,1.0,0.0,Severe disciplinary case,,,Low,HighSchool,,,,9999999999.0,2023eng905@example.com,M,23,OBC,EEE,2022,4,1,1,0,1600
2023ENG906,27.5,1.9,13,36,34,1.0,0.0,Severe disciplinary case,,,Low,HighSchool,,,,9999999999.0,2023eng906@example.com,F,22,GEN,CIVIL,2021,3,0,1,0,2500
